,0
835,OMOP_42899001
836,OMOP_42898968
837,OMOP_42899669
838,OMOP_42900083
839,OMOP_42900028
840,OMOP_42898744
841,OMOP_42899000
842,OMOP_42898764
843,OMOP_42899261
844,OMOP_42899882
845,OMOP_42899102
846,OMOP_42899104
847,OMOP_42900022
848,OMOP_42899961
849,OMOP_42899919
850,OMOP_42898487
851,OMOP_42898347
852,OMOP_42899098
853,OMOP_42899959
854,OMOP_42899823
855,OMOP_42898896
856,OMOP_42899353
857,OMOP_42899365
858,OMOP_42899821
859,OMOP_42898322
860,OMOP_42899960
861,OMOP_42898959
862,OMOP_42898873
863,OMOP_42898931
864,OMOP_42899777
865,OMOP_42899756
866,OMOP_42899986
867,OMOP_42899331
868,OMOP_42899984
869,OMOP_42899964
870,OMOP_42899685
871,OMOP_42898922
872,OMOP_42900057
873,OMOP_42898859
874,OMOP_42898575
875,OMOP_42899488
876,OMOP_42900538
877,OMOP_42899699
878,OMOP_42899173
879,OMOP_42900073
880,OMOP_42899629
881,OMOP_42899670
882,OMOP_42899467
883,OMOP_42900110
884,OMOP_42898459
885,OMOP_42899785
886,OMOP_42899369
887,OMOP_42899912
888,OMOP_42900043
889,OMOP_42899141
890,OMOP_42898656
891,OMOP_42898400
892,OMOP_42898853
893,OMOP_42899713
894,OMOP_42899076
895,OMOP_42899880
896,OMOP_42899486
897,OMOP_42899893
898,OMOP_42900044
899,OMOP_42899044
900,OMOP_42899900
901,OMOP_42899050
902,OMOP_42899042
903,OMOP_42900200
904,OMOP_42899122
905,OMOP_42899135
906,OMOP_42899324
907,OMOP_42899901
908,OMOP_42899862
909,OMOP_42899445
910,OMOP_42899506
911,OMOP_42899930
912,OMOP_42899865
913,OMOP_42898428
914,OMOP_42900053
915,OMOP_42899866
916,OMOP_42899897
917,OMOP_42899867
918,OMOP_42899751
919,OMOP_42898383
920,OMOP_42899775
921,OMOP_42899634
922,OMOP_42898615
923,OMOP_42900455
924,OMOP_42898919
925,OMOP_42899692
926,OMOP_42899259
927,OMOP_42898614
928,OMOP_42898455
929,OMOP_42898901
930,OMOP_42900020
931,OMOP_42899566
932,OMOP_42899045
933,OMOP_42899201
934,OMOP_42899073
935,OMOP_42900002
936,OMOP_42900196
937,OMOP_42898895
938,OMOP_42900202
939,OMOP_42899480
940,OMOP_42898855
941,OMOP_42899507
942,OMOP_42899638
943,OMOP_42900216
944,OMOP_42899255
945,OMOP_42899797
946,OMOP_42899846
947,OMOP_42900206
948,OMOP_42900524
949,OMOP_42899415
950,OMOP_42898391
951,OMOP_42899854
952,OMOP_42899494
953,OMOP_42900076
954,OMOP_42899903
955,OMOP_42899030
956,OMOP_42898510
957,OMOP_42898512
958,OMOP_42898631
959,OMOP_42898514
960,OMOP_42898634
961,OMOP_42898515
962,OMOP_42898516
963,OMOP_42898517
964,OMOP_42898518
965,OMOP_42898519
966,OMOP_42898520
967,OMOP_42898527
968,OMOP_42898528
969,OMOP_42898529
970,OMOP_42898530
971,OMOP_42898324
972,OMOP_42898531
973,OMOP_42898533
974,OMOP_42900019
975,OMOP_42899752
976,OMOP_42900052
977,OMOP_42899275
978,OMOP_42898752
979,OMOP_42898534
980,OMOP_42898535
981,OMOP_42898536
982,OMOP_42898537
983,OMOP_42898538
984,OMOP_42898539
985,OMOP_42898541
986,OMOP_42898542
987,OMOP_42898545
988,OMOP_42898258
989,OMOP_42898472
990,OMOP_42899177
991,OMOP_42899437
992,OMOP_42899682
993,OMOP_42899707
994,OMOP_42900018
995,OMOP_42900372
996,OMOP_42898663
997,OMOP_42899103
998,OMOP_42899345
999,OMOP_42899754
1000,OMOP_42900387
1001,OMOP_42899410
1002,OMOP_42900026
1003,OMOP_42900214
1004,OMOP_42898914
1005,OMOP_42898882
1006,OMOP_42898184
1007,OMOP_42898186
1008,OMOP_42898241
1009,OMOP_42898253
1010,OMOP_42898372
1011,OMOP_42898521
1012,OMOP_42900261
1013,OMOP_42898984
1014,OMOP_42898887
1015,OMOP_42898986
1016,OMOP_42898878
1017,OMOP_42898885
1018,OMOP_42900260
1019,OMOP_42899495
1020,OMOP_42900525
1021,OMOP_42898836
1022,OMOP_42898989
1023,OMOP_42898950
1024,OMOP_42898190
1025,OMOP_42900461
1026,OMOP_42900484
1027,OMOP_42899129
1028,OMOP_42899463
1029,OMOP_42899558
1030,OMOP_42900444
